index,k__Fungi;__;__;__;__;__,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Thelebolaceae;g__Thelebolus,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;__;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Dothiora,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma,k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Melampsoraceae;g__Melampsora,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium,k__Fungi;p__Ascomycota;__;__;__;__,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Catenulostroma,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;__;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Hypoxylon,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Bartaliniaceae;__,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Neocatenulostroma,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Fusariella,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;g__unidentified,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycodaceae;g__Hanseniaspora,k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Microstromataceae;g__Microstroma,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Microstromatales_fam_Incertae_sedis;g__Pseudomicrostroma,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Davidiellomyces,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Arthrocatena,Sample_ID,Plate,Position,DNA_extraction_plate,Conc_Fun,PNA_test,PNAs,mPNA,pPNA,Year,Date,GT,Block,Block_no,Year_Cat,GT_numb,Average_Brix,Average_Cluster_Weight,Genotype,Berry_Color,control
346831_105-LP1-ITS-0201,3926.0,314301.0,61289.0,0.0,0.0,419.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,634.0,0.0,0.0,357.0,0.0,53.0,4.0,164.0,53.0,0.0,0.0,4.0,3.0,0.0,109.0,0.0,0.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,DNA19-pos-1,P3,A02,DNA19,8.720799486,no,yes,0.5,0.5,,DNA19-pos-1,,,,Yearnan,,22.66666667,126.0,,,pos_ctrl
346831_010-LP1-ITS-0106,992.0,264063.0,57530.0,0.0,0.0,1148.0,119.0,0.0,0.0,300.0,0.0,167.0,70.0,35.0,1466.0,477.0,0.0,5777.0,68.0,75.0,3566.0,0.0,0.0,0.0,5210.0,1187.0,41.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,5.0,0.0,0.0,41.0,584.0,11.0,3.0,0.0,17.0,0.0,0.0,3.0,2.0,0.0,67.0,DNA20-pos-1,P2,B02,DNA20,6.929260799,no,yes,0.5,0.5,,DNA20-pos-1,,,,Yearnan,,23.83333333,231.3333333,,,pos_ctrl
346831_789-LP1-ITS-1081,6799.0,164645.0,32591.0,15.0,7.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,44.0,0.0,0.0,521.0,0.0,0.0,352.0,0.0,5.0,0.0,102.0,40.0,0.0,3.0,0.0,0.0,0.0,88.0,4.0,0.0,0.0,7.0,0.0,6.0,17.0,11.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,3.0,0.0,DNA23-pos-1,P12,A04,DNA23,11.84110547,no,yes,0.5,0.5,,DNA23-pos-1,,,,Yearnan,,21.2,134.3333333,,,pos_ctrl
346831_562-LP1-ITS-0811,343.0,109079.0,10793.0,0.0,0.0,223.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,519.0,0.0,0.0,237.0,0.0,2.0,0.0,113.0,52.0,0.0,0.0,0.0,0.0,208.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,DNA18-pos-2,P9,C06,DNA18,8.565954778,no,yes,0.5,0.5,,DNA18-pos-2,,,,Yearnan,,,,,,pos_ctrl
346831_357-LP1-ITS-0498,905.0,112312.0,31950.0,3.0,0.0,294.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,263.0,0.0,0.0,546.0,0.0,6.0,2.0,154.0,0.0,0.0,0.0,0.0,6.0,0.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DNA5-pos-1,P6,B03,DNA5 & DNA6,11.5022928,no,yes,0.5,0.5,,DNA5-pos-1,,,,Yearnan,,,,,,pos_ctrl
346831_529-LP1-ITS-0777,1776.0,120308.0,27901.0,0.0,0.0,153.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,448.0,0.0,0.0,209.0,0.0,29.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNA18-pos-1,P9,A02,DNA18,14.82771533,yes,yes,0.5,0.5,,DNA18-pos-1,,,,Yearnan,,,,,,pos_ctrl
346831_443-LP1-ITS-0685,1593.0,87116.0,24370.0,0.0,0.0,292.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,372.0,0.0,0.0,342.0,31.0,0.0,0.0,109.0,31.0,0.0,0.0,0.0,46.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,20.0,0.0,DNA7-pos-1,P8,E02,DNA7,13.26154394,no,yes,0.5,0.5,,DNA7-pos-1,,,,Yearnan,,,,,,pos_ctrl
